Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.8011%,0.0007500000000000284,0.07500000000000284,bp,+0.08bp,,,3.81315,3.79195,64,10
A. Rates,Nominal UST,UST 5Y,3.9541%,0.011800000000000033,1.1800000000000033,bp,+1.18bp,,,3.9599,3.9405,74,20
A. Rates,Nominal UST,UST 10Y,4.3425%,0.013950000000000351,1.395000000000035,bp,+1.40bp,,,4.3465,4.3236,76,30
A. Rates,Nominal UST,UST 30Y,4.9507%,0.015450000000000408,1.5450000000000408,bp,+1.55bp,,,4.95175,4.9322,83,40
A. Rates,Curve,UST 2s10s spread,54.14bp,1.515000000000029,1.515000000000029,bp,+1.52bp,,,54.530000000000015,52.32000000000001,61,60
A. Rates,Curve,UST 5s10s spread,38.85bp,0.21500000000003183,0.21500000000003183,bp,+0.22bp,,,39.195,38.309999999999974,69,70
A. Rates,Curve,UST 5s30s spread,99.67bp,0.3650000000000375,0.3650000000000375,bp,+0.37bp,,,99.93999999999997,98.78999999999998,73,80
B. Real & Inflation,Real Yield / TIPS,TIPS real 5Y,1.3095%,0.0035000000000000586,0.35000000000000586,bp,+0.35bp,,,1.3185,1.2995,55,110
B. Real & Inflation,Real Yield / TIPS,TIPS real 10Y,1.8935%,0.010499999999999954,1.0499999999999954,bp,+1.05bp,,,1.895,1.8815,72,120
B. Real & Inflation,Real Yield / TIPS,TIPS real 30Y,2.6965%,0.01200000000000001,1.200000000000001,bp,+1.20bp,,,2.6975,2.6815,81,130
B. Real & Inflation,Breakeven Inflation,BEI 5Y,2.6445%,0.009199999999999875,0.9199999999999875,bp,+0.92bp,,,2.6476499999999996,2.6315,53,150
B. Real & Inflation,Breakeven Inflation,BEI 10Y,2.4490%,0.003450000000000397,0.3450000000000397,bp,+0.35bp,,,2.4545000000000003,2.4395499999999997,71,160
B. Real & Inflation,Breakeven Inflation,BEI 30Y,2.2542%,0.003450000000000397,0.3450000000000397,bp,+0.35bp,,,2.2580499999999994,2.2501999999999995,81,170
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.7227,0.0,0.0,pts,0.0000,0.0,+0.00%,103.73828125,103.69921875,97,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,108.1641,-0.0078125,-0.0078125,pts,-0.0078,-7.222302470027445e-05,-0.00%,108.1953125,108.109375,95,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,111.0000,-0.078125,-0.078125,pts,-0.0781,-0.0007033338022225348,-0.00%,111.09375,110.9375,97,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,113.5312,-0.21875,-0.21875,pts,-0.2188,-0.0019230769230769232,-0.00%,113.78125,113.53125,97,240
D. USD & FX,USD,DXY,98.5370,0.1460000000000008,0.1460000000000008,pts,+0.1460,0.0014838755577237836,+0.00%,98.537,98.391,92,310
D. USD & FX,FX,EURUSD,1.1714,-0.0018000000000000238,-18.000000000000238,pips,-18.00pips,-0.0015342652574156356,-0.00%,1.1732,1.1714,112,320
D. USD & FX,FX,USDJPY,159.515,0.21999999999999886,21.999999999999886,pips,+22.00pips,0.0013810854075771298,+0.00%,159.515,159.295,112,330
D. USD & FX,FX,GBPUSD,1.3526,-0.0027000000000001467,-27.000000000001467,pips,-27.00pips,-0.0019921053602391606,-0.00%,1.35535,1.35255,112,340
D. USD & FX,FX,AUDUSD,0.7184,-0.0008499999999999064,-8.499999999999064,pips,-8.50pips,-0.0011817865832463071,-0.00%,0.7194,0.71815,112,350
E. RMB,RMB,USDCNH,6.8280,0.0018000000000002458,18.00000000000246,pips,+18.00pips,0.0002636899006768401,+0.00%,6.828,6.8222,112,420
F. Commodities,Commodities,Brent crude,108.8300,0.6099999999999994,0.6099999999999994,pts,+0.6100,0.005636666050637585,+0.01%,109.6,107.75,81,510
F. Commodities,Commodities,WTI crude,97.1400,1.019999999999996,1.019999999999996,pts,+1.0200,0.010611735330836413,+0.01%,97.31,96.06,98,520
F. Commodities,Commodities,Gold,4688.2400,17.479999999999563,17.479999999999563,pts,+17.4800,0.0037424316385341063,+0.00%,4700.325,4670.76,101,530
F. Commodities,Commodities,Copper,6.0285,0.028500000000000192,0.028500000000000192,pts,+0.0285,0.004750000000000032,+0.00%,6.036,4.98,99,540
